@relation BaseImagens
@attribute h0 NUMERIC
@attribute h1 NUMERIC
@attribute h2 NUMERIC
@attribute h3 NUMERIC
@attribute h4 NUMERIC
@attribute h5 NUMERIC
@attribute h6 NUMERIC
@attribute h7 NUMERIC
@attribute h8 NUMERIC
@attribute h9 NUMERIC
@attribute h10 NUMERIC
@attribute h11 NUMERIC
@attribute h12 NUMERIC
@attribute h13 NUMERIC
@attribute h14 NUMERIC
@attribute h15 NUMERIC
@attribute h16 NUMERIC
@attribute h17 NUMERIC
@attribute h18 NUMERIC
@attribute h19 NUMERIC
@attribute h20 NUMERIC
@attribute h21 NUMERIC
@attribute h22 NUMERIC
@attribute h23 NUMERIC
@attribute h24 NUMERIC
@attribute h25 NUMERIC
@attribute h26 NUMERIC
@attribute classe {1,2,3,4,5,6,7,8,9}
@data

0.03773851,0.035576407,0.012905496,0.0049426327,0.002631916,0.0022340124,0.0020853977,0.0025695937,0.0030489955,0.005062483,0.005517915,0.010072231,0.017881688,0.036444124,0.009741444,0.019247983,0.009051106,0.025413089,0.008260093,0.018140564,0.011342647,0.031793926,0.037139256,0.07033304,0.7998915,0.58855677,0.0, 1
0.037230697,0.03320682,0.014625993,0.0073129963,0.0044726147,0.004161948,0.0038315563,0.004482477,0.005064361,0.008609907,0.0106711555,0.018541379,0.032250166,0.044839565,0.01311704,0.018832322,0.008052679,0.02343808,0.0061196415,0.015429781,0.009260828,0.027501402,0.03315751,0.0772426,0.7588454,0.63905627,0.0, 1
0.050046038,0.04293089,0.017060352,0.0070751463,0.0046650968,0.003710077,0.00338007,0.0037850784,0.0045600943,0.007345152,0.010030208,0.019235399,0.032150667,0.046260957,0.014850307,0.020185418,0.010295213,0.025295524,0.007890163,0.016680345,0.011310235,0.030600633,0.038830806,0.07799662,0.56685674,0.8123018,0.0, 1
0.05339481,0.045205485,0.018070253,0.008428141,0.0055225715,0.004303626,0.0036120603,0.00411954,0.005597201,0.008224154,0.011398389,0.019856382,0.035548445,0.043653194,0.014667154,0.020493219,0.010507812,0.025627717,0.008657005,0.018577732,0.012507878,0.03243889,0.036787294,0.06898737,0.51080304,0.84898347,0.0, 1
0.05368548,0.048357874,0.018963676,0.00824855,0.004928159,0.0036699057,0.004249102,0.0040344,0.005207771,0.008458259,0.012457707,0.024980325,0.046046082,0.051378682,0.015997794,0.02225411,0.0113093015,0.027956193,0.008662974,0.01893871,0.012452714,0.03300918,0.04189185,0.081676625,0.41843417,0.89542705,0.0, 1
0.02887902,0.02963145,0.00734516,0.0031530443,0.0018094175,0.0016616186,0.0014824683,0.002221463,0.0029694154,0.004801227,0.006100066,0.00860369,0.011250636,0.029797165,0.0052132723,0.011591021,0.0027678714,0.019106373,0.0026155936,0.012697274,0.0071525737,0.025515474,0.024834704,0.054636348,0.825287,0.55762756,0.0, 1
0.027345508,0.029400833,0.0063688573,0.0025625387,0.0014775395,0.0016936574,0.0016627833,0.0020376814,0.002408169,0.004229733,0.0048295697,0.0068716616,0.009465074,0.027658658,0.0034049568,0.010457451,0.0020906082,0.017915718,0.0024125795,0.012049666,0.0073127183,0.02547543,0.024756506,0.054033842,0.8409758,0.5341416,0.0, 1
0.041878495,0.03337535,0.013476592,0.009289738,0.0068403534,0.00628277,0.0059243236,0.0064769285,0.007283433,0.009483896,0.013929628,0.02926815,0.0611201,0.046996314,0.009777623,0.016020564,0.005695316,0.02209922,0.0050580776,0.013790232,0.0072635193,0.022089263,0.022333205,0.059183493,0.68079937,0.7214183,0.0, 1
0.04966191,0.043818347,0.020628277,0.010799707,0.0067142365,0.0058937934,0.006111462,0.0062398305,0.008265822,0.012680586,0.019528773,0.034257676,0.050041433,0.068040945,0.024618866,0.03212564,0.018998554,0.038878944,0.0169614,0.03092009,0.0221687,0.04908146,0.05339576,0.08277543,0.69248724,0.69935775,0.0, 1
